PubSEED Abreviation	VMH Abbreviation	VMH Description	VMH Formula
cUidA	3OH_CBZ_GLC_GLCAASE	3-Hydroxy Carbamazepine Glucuronide beta-glucuronidase	3oh_cbz_glc[c] + h2o[c] -> 3oh_cbz[c] + glcur[c]
cUidA	3OH_DLOR_GLC_GLCAASE	3-Hydroxydesloratadine Glucuronide beta-glucuronidase	3oh_dlor_glc[c] + h2o[c] -> 3oh_dlor[c] + glcur[c]
cUidA	3OH_MDEA_GLC_GLCAASE	3-Hydroxy N-Desethylamiodarone Glucuronide (3-Hydroxy_MDEA_Glc) (M15) beta-glucuronidase	3oh_mdea_glc[c] + h2o[c] -> 3oh_mdea[c] + glcur[c]
cUidA	3OH_MXN_GLC_GLCAASE	3-Hydroxymorphinan O-Glucuronide beta-glucuronidase	3oh_mxn_glc[c] + h2o[c] -> 3oh_mxn[c] + glcur[c]
cUidA	4DH_TPNO_1GLC_GLCAASE	4-Dehydroxytempol 1-O-Glucuronide beta-glucuronidase	4dh_tpno_1glc[c] + h2o[c] -> 4dh_tpno[c] + glcur[c] + h[c]
cUidA	4HMDGLUC_GLCAASE	4-OH-midazolam-glucuronide beta-glucuronidase	4hmdgluc[c] + h2o[c] -> 4ohmdz[c] + glcur[c]
cUidA	4OH_DCF_GLC_GLCAASE	4-Hydroxydiclofenac Glucuronide beta-glucuronidase	4oh_dcf_glc[c] + h2o[c] -> 4oh_dcf[c] + glcur[c] + h[c]
cUidA	4OH_KP_GLC_GLCAASE	4-Hydroxybenzyl Ketoprofen Glucuronide beta-glucuronidase	4oh_kp_glc[c] + h2o[c] -> 4oh_kp[c] + glcur[c] + h[c]
cUidA	4OH_LEVOLE_GLC_GLCAASE	4-Hydroxy Levamisole Glucuronide beta-glucuronidase	4oh_levole_glc[c] + h2o[c] -> 4oh_levole[c] + glcur[c]
cUidA	4OH_METH_GLC_GLCAASE	4-Hydroxymethamphetamine Glucuronide beta-glucuronidase	4oh_meth_glc[c] + h2o[c] -> 4oh_meth[c] + glcur[c] + h[c]
cUidA	4OH_PROPL_GLC_GLCAASE	4-Hydroxypropranolol Glucuronide beta-glucuronidase	4oh_propl_glc[c] + h2o[c] -> 4oh_propl[c] + glcur[c]
cUidA	4OH_TRZ_GLC_GLCAASE	4-Hydroxy Triazolam Glucuronide beta-glucuronidase	4oh_trz_glc[c] + h2o[c] -> 4oh_trz[c] + glcur[c]
cUidA	4OH_VCZ_GLC_GLCAASE	4-Hydroxyvoriconazole Glucuronide beta-glucuronidase	4oh_vcz_glc[c] + h2o[c] -> 4oh_vcz[c] + glcur[c] + h[c]
cUidA	5OH_SULFP_GLC_GLCAASE	5-Hydroxy-Sulfapyridine-O-Glucuronide beta-glucuronidase	5oh_sulfp_glc[c] + h2o[c] -> 5oh_sulfp[c] + glcur[c] + h[c]
cUidA	5OHFVSGLU_GLCAASE	5-hydroxy-fluvastatin-glucuronide beta-glucuronidase	5ohfvsglu[c] + h2o[c] -> 5ohfvs[c] + glcur[c]
cUidA	6BHGLZGLC_GLCAASE	6-beta-OH-gliclazide-glucuronide beta-glucuronidase	6bhglzglc[c] + h2o[c] -> 6bhglz[c] + glcur[c]
cUidA	6OHFVSGLU_GLCAASE	6-hydroxy-fluvastatin-glucuronide beta-glucuronidase	6ohfvsglu[c] + h2o[c] -> 6ohfvs[c] + glcur[c]
cUidA	7BHGLZ_GLCAASE	7-beta-OH-gliclazide beta-glucuronidase	7bhglzglc[c] + h2o[c] -> 7bhglz[c] + glcur[c]
cUidA	7OH_EFV_GLC_GLCAASE	7-hydroxy-Efavirenz Glucuronide beta-glucuronidase	7oh_efv_glc[c] + h2o[c] -> 7oh_efv[c] + glcur[c] + h[c]
cUidA	814DIOH_EFV_GLC_GLCAASE	8 14-Dihydroxyefavirenz Glucuronide beta-glucuronidase	814dioh_efv_glc[c] + h2o[c] -> 814dioh_efv[c] + glcur[c] + h[c]
cUidA	8OH_EFV_GLC_GLCAASE	8-hydroxy-Efavirenz Glucuronide beta-glucuronidase	8oh_efv_glc[c] + h2o[c] -> 8oh_efv[c] + glcur[c] + h[c]
cUidA	AC_AMN_B_GLY_GLC_GLCAASE	Acetyl 4-Aminobenzoylglycine Glucuronide beta-glucuronidase	ac_amn_b_gly_glc[c] + h2o[c] -> ac_amn_b_gly[c] + glcur[c]
cUidA	ACMP_GLC_GLCAASE	Acetaminophen Glucuronide beta-glucuronidase	acmp_glc[c] + h2o[c] -> acmp[c] + glcur[c]
cUidA	ACMPGLU_GLCAASE	Acetaminophen glucuronide beta-glucuronidase	acmpglu[c] + h2o[c] -> acmp[c] + glcur[c]
cUidA	ALPZ_4OH_GLC_GLCAASE	4-Hydroxyalprazolam Glucuronide beta-glucuronidase	alpz_4oh_glc[c] + h2o[c] -> alpz_4oh[c] + glcur[c]
cUidA	ALPZ_AOH_GLC_GLCAASE	Alpha-Hydroxyalprazolam Glucuronide beta-glucuronidase	alpz_aoh_glc[c] + h2o[c] -> alpz_aoh[c] + glcur[c]
cUidA	AM14_GLC_GLCAASE	Desmethylalfentanil Glucuronide (AM14 Glucuronide) beta-glucuronidase	am14_glc[c] + h2o[c] -> am14[c] + glcur[c] + h[c]
cUidA	AM1CGLC_GLCAASE	AM1c-glucuronide (cyclosporine) beta-glucuronidase	am1cglc[c] + h2o[c] -> am1ccs[c] + glcur[c]
cUidA	AM5_GLC_GLCAASE	N-(4-Hydroxyphenyl)Propanamide Glucuronide (AM5 Glucuronide) beta-glucuronidase	am5_glc[c] + h2o[c] -> am5[c] + glcur[c] + h[c]
cUidA	AM6_GLC_GLCAASE	Desmethylnoralfentanil Glucuronide (AM6 Glucuronide) beta-glucuronidase	am6_glc[c] + h2o[c] -> am6[c] + glcur[c] + h[c]
cUidA	AMIO_C_GLC_GLCAASE	Carboxylamiodarone Glucuronide (M19) beta-glucuronidase	amio_c_glc[c] + h2o[c] -> amio_c[c] + glcur[c] + h[c]
cUidA	AMIO_GLC_GLCAASE	Amiodarone Glucuronide (M16) beta-glucuronidase	amio_glc[c] + h2o[c] -> amio[c] + glcur[c] + h[c]
cUidA	AMN_B_GLY_GLC_GLCAASE	4-Aminobenzoylglycine Glucuronide beta-glucuronidase	amn_b_gly_glc[c] + h2o[c] -> amn_b_gly[c] + glcur[c]
cUidA	AMNTD_M6_GLC_GLCAASE	Amantadine M6 Glucuronide beta-glucuronidase	amntd_m6_glc[c] + h2o[c] -> amntd_m6[c] + glcur[c]
cUidA	ATVACYLGLUC_GLCAASE	atorvastatin-acyl-glucuronide / G2 beta-glucuronidase	atvacylgluc[c] -> atvlac[c] + glcur[c]
cUidA	ATVETHGLUC_GLCAASE	atorvastatin-ether-glucuronide -G1 beta-glucuronidase	atvethgluc[c] + 2 h2o[c] -> atvacid[c] + 2 glcur[c]
cUidA	ATVLACGLUC_GLCAASE	atorvastatin-lactone-ether-glucuronide / G3 beta-glucuronidase	atvlacgluc[c] + h2o[c] -> atvlac[c] + glcur[c]
cUidA	BHPM_GLC_GLCAASE	Bis-(P-Hydroxy-Phenyl)-Pyridyl-2-Methane Glucuronide beta-glucuronidase	bhpm_glc[c] + h2o[c] -> bhpm[c] + glcur[c] + h[c]
cUidA	BILR_M10_GLCAASE	BILR M10 beta-glucuronidase	bilr_M10[c] + h2o[c] -> bilr_355[c] + glcur[c] + h[c]
cUidA	BILR_M12_GLCAASE	BILR M12 beta-glucuronidase	bilr_M12[c] + h2o[c] -> bilr_M7[c] + glcur[c] + h[c]
cUidA	BILR_M15_GLCAASE	BILR M15 beta-glucuronidase	bilr_M15[c] + h2o[c] -> bilr_M14[c] + glcur[c] + h[c]
cUidA	BILR_M16_GLCAASE	BILR M16 beta-glucuronidase	bilr_M16[c] + h2o[c] -> bilr_355[c] + glcur[c] + h[c]
cUidA	BSN_GLC_GLCAASE	Bosentan Glucuronide beta-glucuronidase	bsn_glc[c] + h2o[c] -> bsn[c] + glcur[c] + h[c]
cUidA	BZ_GLC_GLCAASE	Benzoic Acid Glucuronide beta-glucuronidase	bz_glc[c] + h2o[c] -> bz[c] + glcur[c] + h[c]
cUidA	CARIBUP_S_GLCAASE	S-carboxy ibuprofen beta-glucuronidase	caribupglu_S[c] + h2o[c] -> caribup_s[c] + glcur[c] + h[c]
cUidA	CBZ_GLC_GLCAASE	Carbamazepine Glucuronide beta-glucuronidase	cbz_glc[c] + h2o[c] -> cbz[c] + glcur[c]
cUidA	CD6168_GLC_GLCAASE	CD6168 Glucuronide beta-glucuronidase	cd6168_glc[c] + h2o[c] -> cd6168[c] + glcur[c] + 2 h[c]
cUidA	CHLPHNCL_GLC_GLCAASE	Chloramphenicol 3-Glucuronide beta-glucuronidase	chlphncl_glc[c] + h2o[c] -> chlphncl[c] + glcur[c]
cUidA	CLCXB_C_GLC_GLCAASE	Carboxycelecoxib Glucuronide beta-glucuronidase	clcxb_c_glc[c] + h2o[c] -> clcxb_c[c] + glcur[c] + h[c]
cUidA	CLCXB_GLC_GLCAASE	Celecoxib Glucuronide beta-glucuronidase	clcxb_glc[c] + h2o[c] -> clcxb[c] + glcur[c]
cUidA	CLOBI_GLC_GLCAASE	Clopidogrel Acyl-Beta-D-Glucuronide beta-glucuronidase	clobi_glc[c] + h2o[c] -> clobi_c[c] + glcur[c]
cUidA	CVM1GLUC_GLCAASE	cerivastatin-M1-glucuronide beta-glucuronidase	cvm1gluc[c] + h2o[c] -> crvsm1[c] + glcur[c]
cUidA	CVM23GLUC_GLCAASE	cerivastatin-M23-glucuronide beta-glucuronidase	cvm23gluc[c] + h2o[c] -> crvsm23[c] + glcur[c]
cUidA	DAA_GLC_GLCAASE	Deaminated Amiodarone Glucuronide (M14) beta-glucuronidase	daa_glc[c] + h2o[c] -> daa[c] + glcur[c]
cUidA	DCF_GLC_GLCAASE	Diclofenac Acyl Glucuronide beta-glucuronidase	dcf_glc[c] + h2o[c] -> dcf[c] + glcur[c] + h[c]
cUidA	DDEA_GLC_GLCAASE	Di-N-Desethylamiodarone Glucuronide Conjugate (DDEA_Glc) beta-glucuronidase	ddea_glc[c] + h2o[c] -> ddea[c] + glcur[c]
cUidA	DES_ASTZL_GLC_GLCAASE	Desmethylastemozole Glucuronide beta-glucuronidase	des_astzl_glc[c] + h2o[c] -> des_astzl[c] + glcur[c]
cUidA	DIGOXIN_GLC_GLCAASE	Digoxin 16-Glucuronide beta-glucuronidase	digoxin_glc[c] + h2o[c] -> digoxin[c] + glcur[c] + h[c]
cUidA	DLB_GLC_GLCAASE	Deleobuvir Glucuronide beta-glucuronidase	dlb_glc[c] + h2o[c] -> dlb[c] + glcur[c] + 2 h[c]
cUidA	DNPZ_M11_GLCAASE	Donepezil Metabolite M11 beta-glucuronidase	dnpz_m11[c] + h2o[c] -> dnpz_6des[c] + glcur[c]
cUidA	DNPZ_M12_GLCAASE	Donepezil Metabolite M12 beta-glucuronidase	dnpz_m12[c] + h2o[c] -> dnpz_5des[c] + glcur[c]
cUidA	DNPZ_M13_GLCAASE	Donepezil Metabolite M13 beta-glucuronidase	dnpz_m13[c] + h2o[c] -> dnpz_m9[c] + glcur[c]
cUidA	DNPZ_M14_GLCAASE	Donepezil Metabolite M14 beta-glucuronidase	dnpz_m14[c] + h2o[c] -> dnpz_m9[c] + glcur[c]
cUidA	DOH_ETR_GLC_GLCAASE	Etravarine Dihydroxylated Glucuronide beta-glucuronidase	doh_etr_glc[c] + h2o[c] -> doh_etr[c] + glcur[c] + h[c]
cUidA	DOH_VCZ_GLC_GLCAASE	Dihydroxyvoriconazole Glucuronide beta-glucuronidase	doh_vcz_glc[c] + h2o[c] -> doh_vcz[c] + glcur[c] + h[c]
cUidA	DXO_GLC_GLCAASE	Dextrorphan O-Glucuronide beta-glucuronidase	dxo_glc[c] + h2o[c] -> dxo[c] + glcur[c] + h[c]
cUidA	EFV_GLC_GLCAASE	Efavirenz Glucuronide beta-glucuronidase	efv_glc[c] + h2o[c] -> efv[c] + glcur[c] + h[c]
cUidA	ELTR_GLC_GLCAASE	Eltrombopag Glucuronide (M2) beta-glucuronidase	eltr_glc[c] + h2o[c] -> eltr[c] + glcur[c] + h[c]
cUidA	ELTR_M3_GLCAASE	Eltrombopag M3 (Glucuronide Conjugate) beta-glucuronidase	eltr_m3[c] + 2 ahcys[c] + 2 nadh[c] + 4 h[c] -> sb_611855[c] + glcur[c] + 2 amet[c] + 2 nad[c]
cUidA	ELTR_M4_GLCAASE	Eltrombopag M4 (Glucuronide Conjugate) beta-glucuronidase	eltr_m4[c] + h2o[c] -> sb_y[c] + glcur[c] + h[c]
cUidA	EZTMB_GLC_GLCAASE	Ezetimibe Glucuronide beta-glucuronidase	eztmb_glc[c] + h2o[c] -> eztmb[c] + glcur[c]
cUidA	FVSGLUC_GLCAASE	fluvstatin-glucuronide beta-glucuronidase	fvsgluc[c] + h2o[c] -> fvs[c] + glcur[c]
cUidA	FVSTETGLU_GLCAASE	des-isopropyl-dihydro-fluvastatin-tetranor-glucuronide beta-glucuronidase	fvstetglu[c] + h2o[c] -> fvstet[c] + glcur[c]
cUidA	GLC3MEACP_GLCAASE	glucuronide-conjugate of 3-methoxy-acetaminophen beta-glucuronidase	glc3meacp[c] + h2o[c] + amet[c] -> 3meacmp[c] + glcur[c] + h[c] + ahcys[c]
cUidA	GLTMN_GLC_GLCAASE	Galantamine Glucuronide beta-glucuronidase	gltmn_glc[c] + h2o[c] -> gltmn[c] + glcur[c]
cUidA	GMFL_GLC_GLCAASE	Gemfibrozil 1-O-Beta-Glucuronide beta-glucuronidase	gmfl_glc[c] + h2o[c] -> gmfl[c] + glcur[c] + h[c]
cUidA	GMFL_MI_GLC_GLCAASE	M1 Glucuronide beta-glucuronidase	gmfl_mI_glc[c] + h2o[c] -> gmfl_mI[c] + glcur[c] + h[c]
cUidA	GMFL_MII_GLC_GLCAASE	M2 Glucuronide beta-glucuronidase	gmfl_mII_glc[c] + h2o[c] -> gmfl_mII[c] + glcur[c] + h[c]
cUidA	GMFL_MIII_GLC_GLCAASE	M3 Glucuronide beta-glucuronidase	gmfl_mIII_glc[c] + h2o[c] -> gmfl_mIII[c] + glcur[c] + h[c]
cUidA	GTACMP_GLCAASE	glucuronide-thiomethyl-acetaminophen conjugate beta-glucuronidase	gtacmp[c] + h2o[c] -> tmacmp[c] + glcur[c]
cUidA	HST_3_GLC_GLCAASE	Hesperetin 3-O-Glucuronide (Aglycone Of Hesperidin) beta-glucuronidase	hst_3_glc[c] + h2o[c] -> hst[c] + glcur[c]
cUidA	HST_37_DIGLC_GLCAASE	Hesperetin 3 7-Diglucuronide beta-glucuronidase	hst_37_diglc[c] + h2o[c] -> hst_7_glc[c] + glcur[c]
cUidA	HST_37_DIGLC_GLCAASE2	Hesperetin 3 7-Diglucuronide beta-glucuronidase	hst_37_diglc[c] + h2o[c] -> hst_3_glc[c] + glcur[c]
cUidA	HST_3GLC_7S_GLCAASE	Hesperetin 3-O-Glucuronide 7-Sulfate beta-glucuronidase	hst_3glc_7s[c] + h2o[c] -> hst_7_s[c] + glcur[c] + h[c]
cUidA	HST_7_GLC_GLCAASE	Hesperetin 7-O-Glucuronide (Aglycone Of Hesperidin) beta-glucuronidase	hst_7_glc[c] + h2o[c] -> hst[c] + glcur[c]
cUidA	HST_7GLC_3S_GLCAASE	Hesperetin 7-O-Glucuronide 3-Sulfate beta-glucuronidase	hst_7glc_3s[c] + h2o[c] -> hst_3_s[c] + glcur[c] + h[c]
cUidA	IBUPGLUC_GLCAASE	ibuprofen acyl glucuronide beta-glucuronidase	ibupgluc[c] + h2o[c] -> ibup_S[c] + glcur[c] + h[c]
cUidA	IMN_GLC_GLCAASE	Indomethacin Glucuronide beta-glucuronidase	imn_glc[c] + h2o[c] -> imn[c] + glcur[c] + h[c]
cUidA	INV_M1_GLCAASE	Indanyl Glucuronide M1 beta-glucuronidase	inv_m1[c] + h2o[c] -> inv[c] + glcur[c] + h[c]
cUidA	ISOSORBIDE_5MN_GLC_GLCAASE	Isosorbide 5-Mononitrate 2-Beta-D-Glucuronide beta-glucuronidase	isosorbide_5mn_glc[c] + h2o[c] -> isosorbide_5mn[c] + glcur[c]
cUidA	KPROFEN_GLC_GLCAASE	Ketoprofen Glucuronide beta-glucuronidase	kprofen_glc[c] + h2o[c] -> kprofen[c] + glcur[c] + h[c]
cUidA	LSTN1GLUC_GLCAASE	Losartan-N1-glucuronide beta-glucuronidase	lstn1gluc[c] + h2o[c] -> lstn[c] + glcur[c] + h[c]
cUidA	LSTNM4_GLCAASE	Losartan-M4 (glucuronide derivative) beta-glucuronidase	lstnm4[c] + h2o[c] -> lst4exp[c] + glcur[c] + h[c]
cUidA	LSTNM7_GLCAASE	Losartan-N2-glucuronide / Losartan-M7 beta-glucuronidase	lstnm7[c] + h2o[c] -> lstn[c] + glcur[c] + h[c]
cUidA	MDZ_GLC_GLCAASE	Midazolam Glucuronide beta-glucuronidase	mdz_glc[c] + h2o[c] -> mdz[c] + glcur[c]
cUidA	MDZGLC_GLCAASE	Midazolam-glucuronide beta-glucuronidase	mdzglc[c] + h2o[c] -> mdz[c] + glcur[c] + h[c]
cUidA	MISO_GLC_GLCAASE	Misonidazole Glucuronide beta-glucuronidase	miso_glc[c] + h2o[c] -> miso[c] + glcur[c]
cUidA	MRPHN_3GLC_GLCAASE	Morphine 3-Glucuronide beta-glucuronidase	mrphn_3glc[c] + h2o[c] -> mrphn[c] + glcur[c] + h[c]
cUidA	MRPHN_6GLC_GLCAASE	Morphine 6-Glucuronide beta-glucuronidase	mrphn_6glc[c] + h2o[c] -> mrphn[c] + glcur[c] + h[c]
cUidA	MTZ_GLC_GLCAASE	Metronidazole Beta-D-Glucuronide beta-glucuronidase	mtz_glc[c] + h2o[c] -> mtz[c] + glcur[c]
cUidA	N_OH_PHTN_GLC_GLCAASE	N-Hydroxylated Phenacetin Glucuronide beta-glucuronidase	N_oh_phtn_glc[c] + h2o[c] -> N_oh_phtn[c] + glcur[c]
cUidA	NSLDP_M5_GLC_GLCAASE	Nisoldipine (M5) Glucuronide beta-glucuronidase	nsldp_m5_glc[c] + h2o[c] -> nsldp_m5[c] + glcur[c] + h[c]
cUidA	NVERP_GLC_GLCAASE	Norverapamil Glucuronide beta-glucuronidase	nverp_glc[c] + h2o[c] + h[c] -> nverp[c] + glcur[c]
cUidA	ODSM_EGLTMN_GLC_GLCAASE	O-Desmethylepigalantamine Glucuronide beta-glucuronidase	odsm_egltmn_glc[c] + h2o[c] -> odsm_egltmn[c] + glcur[c]
cUidA	ODSM_GLTMN_GLC_GLCAASE	O-Desmethylgalantamine Glucuronide beta-glucuronidase	odsm_gltmn_glc[c] + h2o[c] -> odsm_gltmn[c] + glcur[c]
cUidA	OH_ETR_GLC_GLCAASE	Etravarine Monohydroxylated Glucuronide (M7) beta-glucuronidase	oh_etr_glc[c] + h2o[c] -> oh_etr[c] + glcur[c] + h[c]
cUidA	OH_PBL_GLC_GLCAASE	Phenobarbital O-Glucuronide beta-glucuronidase	oh_pbl_glc[c] + h2o[c] -> oh_pbl[c] + glcur[c]
cUidA	PHPPA_GLC_GLCAASE	3-(3-Hydroxyphenyl)Propionate Glucuronide beta-glucuronidase	phppa_glc[c] + h2o[c] -> phppa[c] + glcur[c]
cUidA	PHTN_GLC_GLCAASE	Phenacetin Glucuronide beta-glucuronidase	phtn_glc[c] + h2o[c] -> N_oh_phtn[c] + glcur[c]
cUidA	PROB_GLC_GLCAASE	Probenecid Acyl Beta-D-Glucuronide beta-glucuronidase	prob_glc[c] + h2o[c] -> prob[c] + glcur[c] + h[c]
cUidA	PRONT_GLC_GLCAASE	Prontosil Glucuronide beta-glucuronidase	pront_glc[c] + h2o[c] -> pront[c] + glcur[c]
cUidA	PROPL_GLC_GLCAASE	Propranolol Glucuronide beta-glucuronidase	propl_glc[c] + h2o[c] -> propl[c] + glcur[c]
cUidA	PRX_MI_GLC_GLCAASE	Paroxetine Mi Glucuronide beta-glucuronidase	prx_mI_glc[c] + h2o[c] -> prx_mI[c] + glcur[c] + h[c]
cUidA	PRX_MII_GLC_GLCAASE	Paroxetine Mii Glucuronide beta-glucuronidase	prx_mII_glc[c] + h2o[c] -> prx_mII[c] + glcur[c] + h[c]
cUidA	PTVSTGLUC_GLCAASE	pitavastatin-glucuronide beta-glucuronidase	ptvstgluc[c] + 2 h2o[c] -> ptvst[c] + 2 glcur[c] + 2 h[c]
cUidA	PVSGLUC_GLCAASE	pravastatin glucuronide beta-glucuronidase	pvsgluc[c] + h2o[c] -> pvs[c] + glcur[c]
cUidA	R_6OH_WARF_GLC_GLCAASE	R-6-Hydroxywarfarin Glucuronate beta-glucuronidase	R_6oh_warf_glc[c] + h2o[c] -> R_6oh_warf[c] + glcur[c] + 2 h[c]
cUidA	R_7OH_WARF_GLC_GLCAASE	R-7-Hydroxy Warfarin Glucuronate beta-glucuronidase	R_7oh_warf_glc[c] + h2o[c] -> R_7oh_warf[c] + glcur[c] + 2 h[c]
cUidA	R_8OH_WARF_GLC_GLCAASE	R-8-Hydroxywarfarin Glucuronate beta-glucuronidase	R_8oh_warf_glc[c] + h2o[c] -> R_8oh_warf[c] + glcur[c] + 2 h[c]
cUidA	R406_GLC_GLCAASE	Lactam N-Glucuronide Of R406 beta-glucuronidase	r406_glc[c] + h2o[c] -> r406[c] + glcur[c] + h[c]
cUidA	R529_GLC_GLCAASE	Glucuronide R529 beta-glucuronidase	r529_glc[c] + h2o[c] -> r529[c] + glcur[c] + h[c]
cUidA	REP_GLC_GLCAASE	Repaglinide Acyl-Beta-D-Glucuronide beta-glucuronidase	rep_glc[c] + h2o[c] -> rep[c] + glcur[c] + h[c]
cUidA	RPN_104557_CB_GLC_GLCAASE	SKF 104557 Carbamyl Glucuronide beta-glucuronidase	rpn_104557_cb_glc[c] + h2o[c] -> rpn_104557[c] + glcur[c] + co2[c] + h[c]
cUidA	RPN_96990_GLC_GLCAASE	SKF 96990 Glucuronide beta-glucuronidase	rpn_96990_glc[c] + h2o[c] -> rpn_96990[c] + glcur[c]
cUidA	RPN_OH_GLC_GLCAASE	SKF 89124 Glucuronide beta-glucuronidase	rpn_oh_glc[c] + h2o[c] -> rpn_oh[c] + glcur[c]
cUidA	RSVGLUC_GLCAASE	rosuvastatin-glucuronide beta-glucuronidase	rsvgluc[c] + 2 h2o[c] -> rsv[c] + 2 glcur[c] + 2 h[c]
cUidA	S_4OH_WARF_GLC_GLCAASE	S-4-Hydroxywarfarin Glucuronate beta-glucuronidase	S_4oh_warf_glc[c] + h2o[c] -> S_4oh_warf[c] + glcur[c] + 2 h[c]
cUidA	S_6OH_WARF_GLC_GLCAASE	S-6-Hydroxywarfarin Glucuronate beta-glucuronidase	S_6oh_warf_glc[c] + h2o[c] -> S_6oh_warf[c] + glcur[c] + 2 h[c]
cUidA	SCH_488128_GLCAASE	SCH 488128 beta-glucuronidase	sch_488128[c] + h2o[c] -> eztmb[c] + glcur[c]
cUidA	SCH_57871_GLC_GLCAASE	SCH 57871 Glucuronide beta-glucuronidase	sch_57871_glc[c] + h2o[c] -> sch_57871[c] + glcur[c]
cUidA	SFND_1689_GLC_GLCAASE	Nw 1689 Acyl Glucuronide beta-glucuronidase	sfnd_1689_glc[c] + h2o[c] -> sfnd_1689[c] + glcur[c] + h[c]
cUidA	SFTZ_GLC_GLCAASE	Sulfathiazole Glucuronide beta-glucuronidase	sftz_glc[c] + h2o[c] -> sftz[c] + glcur[c]
cUidA	SIMVGLUC_GLCAASE	simvastatin-acyl-glucuronide beta-glucuronidase	simvgluc[c] + h2o[c] -> smvacid[c] + glcur[c] + h[c]
cUidA	SMAP_GLC_GLCAASE	2-Sulfamoylacetylphenol Glucuronide beta-glucuronidase	smap_glc[c] + h2o[c] -> smap[c] + glcur[c] + h[c]
cUidA	SN38G_GLCAASE	SN38 glucuronide beta-glucuronidase	sn38g[c] + h2o[c] -> sn38[c] + glcur[c] + h[c]
cUidA	SPZ_GLC_GLCAASE	Sulfinpyrazone Glucuronide beta-glucuronidase	spz_glc[c] + h2o[c] -> spz[c] + glcur[c]
cUidA	SPZ_SFN_GLC_GLCAASE	Sulfinpyrazone Sulfone Glucuronide beta-glucuronidase	spz_sfn_glc[c] + h2o[c] -> spz_sfn[c] + glcur[c]
cUidA	STG_M3_GLCAASE	Sitagliptin M3 (Ether Glucuronide Conjugate Of A Hydroxylated Derivative) beta-glucuronidase	stg_m3[c] + h2o[c] -> stg[c] + glcur[c]
cUidA	STG_M4_GLCAASE	Sitagliptin M4 (N-Carbomyl Glucuronide Conjugate) beta-glucuronidase	stg_m4[c] + h2o[c] + h[c] -> stg[c] + glcur[c] + co2[c]
cUidA	TAT_GLCAASE	N-(2-Methyl-3-Chlorophenyl)-Anthranilic Acid beta-glucuronidase	tat[c] + h2o[c] -> tlf_a[c] + glcur[c] + h[c]
cUidA	TGZ_GLC_GLCAASE	Troglitazone Glucuronide beta-glucuronidase	tgz_glc[c] + h2o[c] -> tgz[c] + glcur[c]
cUidA	TLF_A_M1_GLCAASE	N-(2-Hydroxymethyl-3-Chlorophenyl)-Anthranilic Acid beta-glucuronidase	tlf_a_m1[c] + h2o[c] -> tlf_a_2[c] + glcur[c] + h[c]
cUidA	TLF_A_M2_GLCAASE	N-(2-Hydroxymethyl-3-Chloro-4-Hydroxyphenyl)-Anthranilic Acid beta-glucuronidase	tlf_a_m2[c] + h2o[c] -> tlf_a_2a[c] + glcur[c] + h[c]
cUidA	TLF_A_M3_GLCAASE	N-(2-Formyl-3-Chlorophenyl) Anthranilic Acid beta-glucuronidase	tlf_a_m3[c] + h2o[c] -> tlf_a_3[c] + glcur[c] + h[c]
cUidA	TLF_A_M4_GLCAASE	N-(2-Methyl-3- Chloro-4-Hydroxyphenyl)-Anthranilic Acid beta-glucuronidase	tlf_a_m4[c] + h2o[c] -> tlf_a_1a[c] + glcur[c] + h[c]
cUidA	TLF_A_M4A_GLCAASE	Tolfenamic Acid M4A beta-glucuronidase	tlf_a_m4a[c] + h2o[c] -> tlf_a_1a[c] + glcur[c] + h[c]
cUidA	TLF_A_M5_GLCAASE	N-(2-Methyl-3-Chloro-5-Hydroxyphenyl)-Anthranilic Acid beta-glucuronidase	tlf_a_m5[c] + h2o[c] -> tlf_a_1b[c] + glcur[c] + h[c]
cUidA	TLF_A_M5A_GLCAASE	Tolfenamic Acid M5A beta-glucuronidase	tlf_a_m5a[c] + h2o[c] -> tlf_a_1b[c] + glcur[c]
cUidA	TLF_A_M5B_GLCAASE	Tolfenamic Acid M5B beta-glucuronidase	tlf_a_m5b[c] + h2o[c] -> tlf_a_m5[c] + glcur[c]
cUidA	TLF_A_M6_GLCAASE	N-(2-Carboxy-3-Chlorophenyl)-Anthranilic Acid beta-glucuronidase	tlf_a_m6[c] + h2o[c] -> tlf_a_4[c] + glcur[c] + h[c]
cUidA	TLF_A_M9_GLCAASE	N-(2-Methyl-3-Chloro-4-Metoxyphenyl)-Anthranilic Acid beta-glucuronidase	tlf_a_m9[c] + h2o[c] -> tlf_a_1x[c] + glcur[c] + h[c]
cUidA	TLMS_GLC_GLCAASE	Telmisartan Glucuronide beta-glucuronidase	tlms_glc[c] + h2o[c] -> tlms[c] + glcur[c] + h[c]
cUidA	TOLCP_AC_GLC_GLCAASE	Tolcapone N-Acetyl Amino Glucuronide beta-glucuronidase	tolcp_ac_glc[c] + h2o[c] -> tolcp_ac[c] + glcur[c]
cUidA	TOLCP_AM_GLC_GLCAASE	Tolcapone Amine Glucuronide beta-glucuronidase	tolcp_am_glc[c] + h2o[c] -> tolcp_am[c] + glcur[c]
cUidA	TOLCP_GLC_GLCAASE	Tolcapone 3-Beta-D-Glucuronide beta-glucuronidase	tolcp_glc[c] + h2o[c] -> tolcp[c] + glcur[c]
